Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.220816589547475,6.896346698570296,777.9734091362126,24,null,null,0,1377336588999
2,B,52.22201400041611,6.896643838153788,95.66383314560983,6,null,4.13129997253418,0,1377338536000
3,2000,52.22135841894445,6.895714688497361,760.1503822396237,8,null,null,0,1377338610000
4,D,52.22149285655457,6.895679041922459,765.8157808493263,8,null,null,0,1377338619000
5,D,52.22149285655457,6.895679041922459,765.8157808493263,8,null,null,0,1377338619000
6,D,52.22146568293657,6.895198708707395,139.2292397611804,6,null,181.19613647460938,0.9568498730659485,1377338849000
7,Dienst Uitvoering Onderwijs,52.2214987830128,6.895461321462527,74.6693273426645,8,null,null,0,1377338863171
8,A,52.2214987830128,6.895461321462527,106.85014197244811,6,null,null,0,1377338905999
9,1,00,52.2197979401398,6.896202459394193,99.58477986674136,8,null,154.19773864746094,0,1377339137999
10,B,52.219926255335174,6.894361188460107,92.30033408879065,6,null,41.981666564941406,0,1377339426999
11,C,52.21994771546241,6.894359717832387,80.3589084148658,4,null,59.159183502197266,0,1377339492999
12,Donkerblauw,52.220019842831455,6.894249980954258,72.00817690484884,6,null,null,0,1377339978000
13,C,52.22002219377905,6.89419573017814,72.12838553081697,6,null,null,0,1377339985000
14,A,52.22002835680697,6.894192040693254,73.69838954872021,6,null,null,0,1377340020000
15,C,52.21759548132269,6.899357825149326,94.53427142104191,8,null,323.5772399902344,0,1377340765000
16,C,52.21767124655474,6.899462141181761,-150.56834666744822,24,null,262.1772155761719,2.7148571014404297,1377340878416
17,Martin Meijers,52.21728283959136,6.899271125610222,117.43115661980134,6,null,null,0,1377341129999
18,Wit,52.217154611166734,6.899093520134717,107.37051968297895,8,null,null,0,1377341201999
