Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22065940489093,6.895048691460671,105.97081691469315,8,null,null,0,1377336522000
2,B,52.22289625513224,6.897799392012849,87.3624801519226,128,null,null,0,1377338558444
3,2000,52.22289625513224,6.897799392012849,87.3624801519226,128,null,null,0,1377338558444
4,D,52.22355085508425,6.897583324998729,112.60880955933047,6,null,null,0,1377338619999
5,D,52.221952079594736,6.89666949245184,98.60132611627733,4,null,null,0,1377338693999
6,D,52.22160033592675,6.895183213189745,90.23313270872553,6,null,172.10775756835938,1.0944350957870483,1377338838999
7,Dienst uitvoering onderwijs,52.22142477857094,6.895195945696554,91.45466590954408,6,null,202.1796417236328,0.40141817927360535,1377338861999
8,C,52.221395722076174,6.895246059356191,91.41295944382885,8,null,182.57736206054688,0,1377338870999
9,1, 00,52.21978785958666,6.89620493978898,89.45122615965582,6,null,174.800048828125,0,1377339150999
10,A,52.220063325783826,6.894325151863945,86.45443130380956,6,null,85.25863647460938,0,1377339421999
11,C,52.220063325783826,6.894325151863945,86.45443130380956,6,null,85.25863647460938,0,1377339421999
